Código do Produto;% Rentabilidade
CEE201614;37.67
LAN3-SS5KLBLSENSPC;43.6
QED047887;19.8
THE56-011811;39.65
THECR015DK;43.16
ABKMD12-220V;20.27
301-C-DLC-BZ;25.42
301-R8-BZ;28.79
5K-SCASE;59.88
BWS1-A2-Y-BZ;-16.18
CEBD02567-00;76.7
CEBD03875-00;69.51
CEBF00360-00;86.76
CEBF00429-00;36.85
CEBF00432-00;54.75
CEBF00471-00;89.51
CEBF00511-00;42.46
CEBF00520-00;47.85
CEBF00535-00;21.83
CEBF00598-00;28.16
CEBF00615-00;34.51
CEBF00618-00;91.17
CEBF00745-00;56.92
CEBF00797-00;65.39
CEBF00920-00;41.5
CEBREG-05-IND;55.73
CG-Q34-4-BZ;21.72
CG2-A-100-58-BZ;25.21
CG2-IB-100-34AL-BZ;34.67
CG2-IB-100-58AL-BZ;29.94
DEFDT-FG-PIDL-1;42.79
DEFDT-FG-SBGN-1;13.5
EC-FX-NH3-LR-BZ;22.39
ECFX-100-AS-BZ;18.65
G100-10L;26.04
GAM5K;40.87
GF25-L;33.68
GF39;9.75
GM5K0000-010-L;13.5
ION68-0023;41.47
LAN3-00000-5233;47.29
M-510150-BZ;29.9
M5-BL-1-BZ;49.19
RKL-01VC-50M;55.32
XT-AG-1-BZ;40.22
XT-RPUMP-K1-BZCEB;30.57
XTRFH5CEB;30.81
YSI116052-4;42.45
YSI116054-20;36.64
YSI116054-4;34.04
YSI605790-4;49.19
CEBF00622-00;36.81
CEBF00502-00;88.64
CEBF00194-00;82.28
CEBF00369-00;96.8
CEBF00375-00;27.47
CEBF00376-00;73.37
CEBF00387-00;64.84
CEBF00818-00;95.45
CEBD04171-00;36.66
IONA-861509;31.18
IONTXXXSLBMP-0000;25.67
ION861203-2;28.14
IONA-846267;31.34
IONA-846627;45.66
IONA-861298;33.48
IONA-861551;23.24
IONA-861632;26.19
IONA-912101;35.79
IONA-912107;30.77
ION861303;50.15
ECFX-250-N-BZ;34.38
HONSPLCA1BMXCXNZZ;47.48
301-ADI-BZCEB;24.07
SON19-0017;43.26
SON24-0304;-233.81
SONHIDFT-03;27.95
SON18-0083-01;32.2
SON24-0306;59.86
SON28-0137;51.19
SONFT2-2D;36.28
YSI603824;26.5
YSI061322;43.84
YSI060907;20.15
YSI603222;40.42
YSI606072;27.71
YSI606950;35.48
YSI626870-2;33.14
YSI627350-20;46.71
YSI599348;68.72
YSI599349;68.32
YSI605402;43.3
YSI607300;42.19
YSI116522;41.71
YSI119094;40.92
YSI599681;43.04
YSI605101;32.3
YSI605102;36.87
YSI605306;33.25
YSI605352;34.45
YSI605793;36.31
YSI605913;31.78
YSI626320;43.61
YSI626904;45.53
YSI607400;42.77
EONGSD210;27.86
LAN3-2011113/S;30.91
LAN076654;45.76
LAN3-00000-5181;28.8
LAN3-047214/S;9.33
LAN3-2011108/S;31.14
LAN3-2011109/S;39.93
LAN3-201130/S;37.46
LAN3-SS5KBACK/S;38.73
ESS0912-7000-GD;20.99
ESS0707-7000-GD;29.82
D06F-0010-001-BZ;19.61
D06F-0110-001-BZ;25.64
D06F-0310-001-BZ;29.13
D06F-0430-001-BZ;25.64
GA-USB1-IR-BZ;37.44
M5AFK3CEB;62.43
M5PIDES1CEB;75.31
MC2SSK1CEB;23.5
MCXL-FC1-BZ;34.58
SR-A04-BZ;32.98
SR-X2V-BZ;42.42
XT-MPCB2-BZ;34
ISC60-2723-005;41.12
ISC60-6700-047-CEB;50.69
ISC60-6700-062;38.32
ISC60-9004-379;28.55
ISC68-2950-001;32.6
ISCHID5800-12;34.4
ISCHID6712FS-11;40.71
ISC60-5804-031;38.78
ISC60-9004-046;44.45
ISC60-9004-100;37.14
ISC60-9004-208;42.51
ISC60-9004-367;35.25
ISC60-9004-405;42.47
ISC60-9004-413;44.87
ISC60-9004-415;44.92
ISC60-9004-416;44.01
ISC60-9004-483;42.84
ISC60-9004-226;43.11
ISC60-9004-240;43.12
ISC60-1684-088;30.79
HER1106;38.75
HER1109;31.21
HER1145;33.27
HER1615;32.9
HERVB12-2;16.83
HER1136;36.55
HER1202-45M;23.6
HER1902-200M;22.07
HER1902-30M;37.04
