linha_index,codigo_detectado,texto
2,CEE301089-301209,CEE301089-301209 - ELEVADOR DE LÍQUIDOS (AUTOPUMP) DE CAPTAÇÃO SUPERIOR MODELO LONG AP-3/TL
6,CEE301091A,CEE301091A - ELEVADOR DE LIQUIDOS MODELO AP-3 LONG BL SEM CONEXÕES
12,CEE206112,CEE206112 - RESTRITOR DE FLUXO DA CAPTAÇÃO PARA ELEVADOR DE LÍQUIDOS MODELO AP4+ BL
80,CEBF00745,CEBF00745-00 - CILINDRO DE GÁS NH3 50 PPM COM 58 LITROS PARA CALIBRAÇÃO DE DETECTORES DE GÁS
130,YSI116054,YSI116054-4 - CABO DE COMUNICAÇÃO DE 4 METROS MUNIDO DE CABEÇA DE CONEXÃO PARA 4 SENSORES DO ANALISADOR MULTIPARÂM
248,YSI606072,YSI606072 - ANALISADOR MULTIPARÂMETROS MODELO DO200A (OXIGÊNIO E TEMPERATURA) COM CABO DE 4 METROS E MALETA
262,YSI599006,YSI599006 - ANEL DE VEDAÇÃO (O-RING) DO COMPARTIMENTO DE BATERIA
264,YSI599290,YSI599290 - ANEL VEDAÇÃO SUPERIOR COPO CALIBRAÇÃO/ARMAZENAMENTO SONDA EXO-1
266,YSI599348,YSI599348 - ANEL DE VEDAÇÃO (O-RING) DA CABEÇA DE CONEXÃO DOS SENSORES DO ANALISADOR MULTIPARÂMETROS EXO 2 E 3
268,YSI599349,YSI599349 - ANEL DE VEDAÇÃO (O-RING) DO TUBO DO ANALISADOR MULTIPARÂMETROS EXO 2 E 3
272,YSI605402,YSI605402 - ANEL DE VEDAÇÃO PARA O SENSOR DE PRESSÃO DOS ANALISADORES MULTIPARÂMETROS
286,YSI005565,YSI005565 - SENSOR DE PH/ORP PARA ANALISADOR MULTIPARÂMETROS MODELO 556
288,YSI107044Y,YSI107044Y - ELETRODO DE MEDIÇÃO DE AMÔNIA PARA SONDAS VARION PLUS E AMMOLYT PLUS 700 IQ
292,YSI115104,YSI115104 - TAMPA DE VEDAÇÃO DA PORTA USB DO ANALISADOR MULTIPARÂMETROS MODELO PROQUATRO
294,YSI119088,YSI119088-01 - COMPARTIMENTO DE PILHAS PARA SONDA MULTIPARÂMETROS MODELO EXO 2.
296,YSI119094,YSI119094 - PLACA DE COMUNICAÇÃO E ALIMENTAÇÃO DO ANALISADOR MULTIPARÂMETROS MODELO EXO 2 E 3
302,YSI577603,YSI577603-02 - MÓDULO DE REFERÊNCIA SEM GRADE DE PROTEÇÃO PARA SENSOR DE PH
310,YSI599101,YSI599101-01 - SENSOR DE TURBIDEZ ÓTICO PARA ANALISADORES MULTIPARÂMETROS MODELO EXO
312,YSI599110,YSI599110-01 - MEMBRANA DE REPOSIÇÃO PARA SENSOR ÓTICO DE OXIGÊNIO DISSOLVIDO DO ANALISADOR MULTIPARÂME
314,YSI599288,YSI599288 - COLAR FIXAÇÃO SUPERIOR DO COPO DE CALIBRAÇÃO/ARMAZENAMENTO SONDA EXO-1
318,YSI599666,YSI599666 - COPO PROTEÇÃO ANALISADOR MULTIPARAMETROSEXO-1
320,YSI599680,YSI599680 - KIT DE ANÉIS DE VEDAÇÃO PARA SONDA EXO1 CONTENDO 5 ANÉIS E 01 TUBO LUBRIFICANTE
322,YSI599681,YSI599681 - KIT DE O-RINGS PARA VEDAÇÃO DO ANALISADOR MULTIPARÂMETROS MODELO EXO 2
328,YSI605101,"YSI605101 - SENSOR DE PH PARA ANALISADORES MULTIPARÂMETROS MODELOS PROFESSIONAL PLUS, PRO10, PRO1020 E PRO1030"
330,YSI605102,"YSI605102 - SENSOR DE ORP PARA ANALISADORES MULTIPARÂMETROS MODELOS PROFESSIONAL PLUS, PRO10, PRO1020 E PRO1030."
332,YSI605203,YSI605203 - SENSOR DE OXIGÊNIO DISSOLVIDO POLAROGRÁFICO
334,YSI605306,"YSI605306 - KIT COM 6 MEMBRANAS PARA SENSOR POLAROGRAFICO, INCLUINDO 1 SOLUÇÃO ELETROLÍTICA PARA ANALISADOR MULT"
354,CEBF00928,"CEBF00928-00 - CARTAO DE REDE, MIDIA: FIBRA MULTIMODO - NCM-F 1 FABRICANTE NOTIFIER"
